epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5502,6.76283,13.2781,8.4079,0,0,0,0,6.96738,10.861,8.33144,2.27182e-05,2.27182e-05,2.27182e-05
2,65.0143,6.85508,12.7655,8.36678,0,0,0,0,6.95243,10.8627,8.30751,4.6518e-05,4.6518e-05,4.6518e-05
3,75.4541,6.86518,12.7845,8.31521,0,0,0,0,6.94392,10.8417,8.32361,7.03171e-05,7.03171e-05,7.03171e-05
4,85.6975,6.94454,12.5617,8.30049,0,0,0,0,6.96204,10.8334,8.32325,9.41149e-05,9.41149e-05,9.41149e-05
5,96.0927,6.79304,12.7383,8.19166,0,0,0,0,6.9396,11.6716,8.28674,0.000117911,0.000117911,0.000117911
6,105.748,6.92812,12.5525,8.15422,0,0,0,0,6.87207,12.5755,8.26954,0.000118989,0.000118989,0.000118989
7,115.789,6.60521,12.5552,8.11733,0,0,0,0,6.84761,11.4353,8.22095,0.000118984,0.000118984,0.000118984
8,125.814,6.5811,12.2825,8.05192,0,0,0,0,6.86696,11.0077,8.21793,0.000118978,0.000118978,0.000118978
9,135.686,6.39468,12.26,7.96741,8e-05,0.0005,5e-05,2e-05,6.76547,11.6742,8.20527,0.000118971,0.000118971,0.000118971
10,145.353,6.41995,12.2992,7.89924,7e-05,0.00055,4e-05,2e-05,6.72195,12.8609,8.15013,0.000118963,0.000118963,0.000118963
11,155.043,6.42847,12.1473,7.87251,0.0001,0.00536,7e-05,3e-05,6.70341,12.0589,8.00114,0.000118955,0.000118955,0.000118955
12,165.327,6.33665,12.2565,7.84109,0.00016,0.00547,0.00011,4e-05,6.69373,10.7137,7.99246,0.000118945,0.000118945,0.000118945
